ID,valid,No_de_Ref,new_ref,filename,DOI,Title,Year,Journal,Pages,Issue,Abstract,Authors,Volume,Corresponding_author,Country,Country_name,journalID
78,1,78,78,10.1016@j.apcata.2007.11.022,10.1016/j.apcata.2007.11.022,Photoreduction of CO2 in an optical-fiber photo: Effects of metals addition and catalyst carrier,2008,APPLIED CATALYSIS A-GENERAL,112,,"The transformation of CO2 to hydrocarbons using sunlight is one of best routes to produce renewable energy. Photocatalytic reduction of CO2 with H2O in the gaseous phase is studied by using Cu-Fe/TiO2 catalyst coated on optical fibers under UVA and UVC irradiation. Catalyst coated optical fibers are assembled in the reactor such that the UV light can enter along the fibers to conduct the photocatalytic reaction on its surface. Methane and ethylene as main products are observed to evolve from this photoreactor. The presence of Fe as a co-dopant in Cu/TiO2 catalyst is found to synergistically reduce CO2 with H2O to ethylene at the quantum yield and total energy efficiency of 0.024% and 0.016%, respectively. This phenomenon is well explained by an efficient charge transfer mechanism between TiO2 as a support and Cu as well as Fe as co-dopants. Methane is formed more favorably than ethylene on Cu/TiO2. Meanwhile, Fe as a co-dopant on Cu/TiO2 catalyst is found to depress the methane formation. The photo production of ethylene over catalysts supported on optical fibers presents yields that are one order of magnitude higher than that on the glass plate counterpart. For a given amount of catalyst and light energy, the optical-fiber reactor can utilize light energy efficiently. Many photo-driven reactions will have advantage using such optical-fiber system.","T-V. Nguyen ,J.C.S. Wu",335,cswu@ntu.edu.tw,"TW,TW","Taiwan,Taiwan",98
93,1,93,93,10.1016@S0926-860X(03)00487-3,10.1016/S0926-860X(03)00487-3,Synthesis of transparent Ti-containing mesoporous silica thin film materials and their unique photocatalytic activity for the reduction of CO2 with H2O,2003,APPLIED CATALYSIS A-GENERAL,251,,"The transparent Ti-containing mesoporous silica thin film materials having two different types of hexagonal and cubic pore structures with a thickness of about 50&mu;m and a lateral size of a few centimeters were successfully synthesized by the solvent evaporation method from tetramethoxysilane (TMOS), vinyltrimethoxysilane (VTMOS), titanium tetra(iso-propoxide) (TIP), and octadecyltrimethylammonium chloride (C18TAC). The films were converted to Ti-containing nanoporous silica thin films by subsequent calcinations in air at 823K, while the highly ordered mesostructures and macroscopic morphology were retained after the surfactant removal by calcination. The films with hexagonal and cubic symmetry were obtained by changing the composition of the starting mixtures. Various spectroscopic measurements of these films clearly showed that Ti ions are present in the silica networks as a tetrahedrally coordinated Ti-oxide species with a high dispersion state. Thus, developed transparent Ti-containing thin films were used as photocatalysts for the reduction of CO2 with H2O to evaluate their unique and high photocatalytic activity. UV irradiation of these films in the presence of CO2 and H2O led to the formation of CH4 and CH3OH as well as CO and O 2 as minor products, their yields increasing linearly against irradiation time, indicating that these films operate as efficient photocatalysts to proceed such a difficult reaction catalytically at 323K. Furthermore, the films having hexagonal pore structure exhibited higher photocatalytic activity than the Ti-MCM-41 powdered catalyst even with the same pore structure.","Y. Shioya , K. Ikeue , M. Ogawa ,M. Anpo",254,anpo@ok.chem.osakafu-u.ac.jp,"JP,JP,JP,JP","Japan,Japan,Japan,Japan",98
111,1,110,110,10.1016@j.apcata.2011.04.032,10.1016/j.apcata.2011.04.032,Visible light responsive iodine-doped TiO2 for photocatalytic reduction of CO2 to fuels,2011,APPLIED CATALYSIS A-GENERAL,195,,"Iodine-doped titanium oxide (I-TiO2) nanoparticles that are photocatalitically responsive to visible light illumination have been synthesized by hydrothermal method. The structure and properties of I-TiO2 nanocrystals prepared with different iodine doping levels and/or calcination temperatures were characterized by X-ray diffraction, transmission electron microscopy and diffraction, X-ray photoelectron spectroscopy, and UV&ndash;vis diffuse reflectance spectra. The three nominal iodine dopant levels (5, 10, 15wt.%) and the two lower calcination temperatures (375, 450&deg;C) produced mixture of anatase and brookite nanocrystals, with small fraction of rutile found at 550&deg;C. The anatase phase of TiO2 increased in volume fraction with increased calcination temperature and iodine levels. The photocatalytic activities of the I-TiO2 powders were investigated by photocatalytic reduction of CO2 with H2O under visible light (&lambda;&gt;400nm) and also under UV&ndash;vis illumination. CO was found to be the major photoreduction product using both undoped and doped TiO2. A high CO2 reduction activity was observed for I-TiO2 catalysts (highest CO yield equivalent to 2.4&mu;molg&minus;1h&minus;1) under visible light, and they also had much higher CO2 photoreduction efficiency than undoped TiO2 under UV&ndash;vis irradiation. I-TiO2 calcined at 375&deg;C has superior activity to those calcined at higher temperatures. Optimal doping levels of iodine were identified under visible and UV&ndash;vis irradiations, respectively. This is the first study that investigates nonmetal doped TiO2 without other co-catalysts for CO2 photoreduction to fuels under visible light.","Q. Zhang, Y. Li, E.A. Ackerman, M. Gajdardziska-Josifovska ,H. Li",400,liying@uwm.edu,"US,US,US,US,US","USA,USA,USA,USA,USA",98
114,1,113,113,10.1016@j.apcata.2012.06.009,10.1016/j.apcata.2012.06.009,Synthesis of TiO2 nanoparticles using novel titanium oxalate complex towards visible light-driven photocatalytic reduction of CO2 to CH3OH,2012,APPLIED CATALYSIS A-GENERAL,28,,"TiO 2 nanoparticles (NPs) with controlled crystalline structure and morphology were synthesized by a facile hydrothermal method using a novel titanium oxalate complex. The structure, morphology, and spectral properties of the synthesized TiO 2 NPs were characterized by X-ray diffraction, Raman spec-troscopy, scanning/transmission electron microscopy, and UV&ndash;vis diffuse reflectance spectroscopy. The titania phases of anatase, rutile, or brookite can be easily tuned by tailoring the solution pH during reaction. Highly ordered flower-like rutile could be obtained with oxalic acid additive. The synthesized TiO 2 catalysts showed excellent visible light absorption and remarkable photocatalytic activity for CO 2 reduction to CH 3 OH under both UV&ndash;vis and visible light irradiation, mainly due to doped carbon and nitrogen. Bicrystalline anatase&ndash;brookite composite afforded maximum CH 3 OH yield, attributed mainly to the unique electrical band structures and efficient charge transfer between the two crystalline phases.","Q.D. Truong, T.H. Le, J. Liu, C. Chung , Y-C. Ling",437,ycling@mx.nthu.edu.tw,"TW,TW,TW,TW,TW","Taiwan,Taiwan,Taiwan,Taiwan,Taiwan",98
123,1,122,122,10.1016@j.apcata.2012.04.001,10.1016/j.apcata.2012.04.001,Photocatalytic reduction of CO2 over noble metal-loaded and nitrgen-doped mesoporous TiO2,2012,APPLIED CATALYSIS A-GENERAL,31,,"Nitrogen-doped mesoporous TiO2 photocatalysts were developed for CO2 photoreduction by water in gas phase. The effects of nitrogen doping and noble metal loading were investigated in detail. The characteristics of samples were investigated by techniques, such as XRD, FT-IR, TEM, XPS, nitrogen adsorption&ndash;desorption, and UV&ndash;vis diffuse reflectance spectroscopy. The loading of noble metals (i.e., Pt, Au, and Ag) generally improved the photocatalytic activity, and the efficiency follows the order: Pt &gt; Au &gt; Ag. It was found that the loading of Pt also promoted the transformation of catalyst associated carbon residues to methane. With unique properties, such as the mesoporous structure, light absorption, and the electron transfer character, the nitrogen-doped mesoporous TiO2 samples showed good activity for CO2 photoreduction to methane under visible light. The optimum loading amount of Pt was 0.2 wt.%, and the optimum doping amount of N was 0.84% on the basis of the lattice oxygen atoms. Aspects such as the origination of visible light sensitivity in terms of nitrogen doping, the effect of noble metal loading, and the reaction mechanism were also discussed.","X. Li, Z. Zhuang, W. Li , H. Pan",429,li.xiukai@gmail.com,"CN,CN,CN,CN","China,China,China,China",98
125,1,124,124,10.1016@j.apcata.2013.01.018,10.1016/j.apcata.2013.01.018,Selective photoreduction of CO2 to CO in CO2-disolved expanded liquid phase with heterogeneous CO2-philic Pd complex catalysts,2013,APPLIED CATALYSIS A-GENERAL,32,,"Novel CO2-philic Pd complexes, PdCl2[4,4&prime;-bis(RfCH2OCH2)-2,2&prime;-bpy] (bpy: 2,2&prime;-bipyridine) where Rf = n-C10F21, n-C11F23, were anchored onto a silica support modified with long fluorinated hydrocarbon chains (C6F13) by mixing these complex and the support in DMSO at 413 K. These immobilized Pd complex catalysts were applied for the photoreduction of CO2 in DMF or organic solvents using triethylamine as a hydrogen donor at 323 K. The rate of CO2 reduction and the selectivity to CO were observed to depend on several factors including CO2 pressure, solvent, Pd complex structure, and Pd loading. With the most active catalyst, the selective photoreduction of CO2 to CO can be achieved in DMF at a CO2 pressure of 4 MPa and the performance observed is much better compared to the literature results. The features of the supported Pd complexes and the multiphase reaction media were characterized by UV&ndash;vis absorption and others to discuss the reasons for their high performance.","R. Liu, H. Yoshida, S. Fujita, N. Lu, W.H. Tu ,M. Arai",455,normanlu@mail.ntut.edu.tw ,"JP,JP,JP,TW,TW,JP","Japan,Japan,Japan,Taiwan,Taiwan,Japan",98
126,1,125,125,10.1016@j.apcata.2011.10.044,10.1016/j.apcata.2011.10.044,Photocatalytic reduction of CO2 to methane over HNb3O8 nanobelts,2012,APPLIED CATALYSIS A-GENERAL,103,,"KNb 3 O 8 and HNb 3 O 8 nanobelts were prepared by hydrothermal synthesis. The characteristics of samples were investigated by XRD, SEM, and UV&ndash;vis diffuse reflectance spectroscopy. The KNb 3 O 8 and HNb 3 O 8 nanobelts exhibited much higher activities for CO 2 photoreduction to methane than commercial TiO 2 (Degussa P25), and the KNb 3 O 8 and HNb 3 O 8 particles prepared by conventional solid state reaction. It was also found that either the HNb 3 O 8 nanobelts or the HNb 3 O 8 particles performed better than the corresponding KNb 3 O 8 counterpart. It is proposed that the nanobelt-like morphology and the protonic acidity contribute to the higher photocatalytic activity of the HNb 3 O 8 nanobelts.","X. Li, H. Pan, W. Li ,Z. Zhuang",413,li.xiukai@gmail.com,"CN,CN,CN,CN","China,China,China,China",98
1,1,1,1,1-s2.0-S092633731000086X-main,10.1016/j.apcatb.2010.02.030,Effect of silver doping on the TiO2 for photocatalytic reduction of CO2,2010,APPLIED CATALYSIS B-ENVIRONMENTAL,239,,"Pure TiO2 and various silver-enriched TiO2 powders were prepared by the sol–gel process controlled in the reverse micellar environment. The catalysts were tested in CO2 photocatalytic reduction and characterized by X-ray diffraction (XRD), nitrogen adsorption measurement and UV–vis. Methane and methanol were the main reduction products. The yield of methane and methanol increases when modifying the TiO2 by silver incorporation is caused by two mechanisms: up to 5% of Ag in TiO2 the Ag impurity band inside the TiO2 bandgap decreases the absorption edge and increases so the electron–hole pair generation, above 5% of Ag in TiO2 Ag metallic clusters are formed in TiO2 crystals with Shottky barrier at the metal–semiconductor interface, which spatially separates electron and holes and increases their lifetime (decreases probability of their recombination).","K. Kočí, K. Matějů, L. Obalová, S. Krejčíková, Z. Lacný, D. Plachá, L. Čapek, A. Hospodková ,O. Šolcová",96,kamila.koci@vsb.cz,"CZ,CZ,CZ,CZ,CZ,CZ,CZ,CZ,CZ","Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic",99
24,1,24,24,10.1016@j.apcatb.2009.01.010,10.1016/j.apcatb.2009.01.010,Effect of TiO2 particle size on the photocatalytic reduction of CO2,2009,APPLIED CATALYSIS B-ENVIRONMENTAL,494,,"Pure TiO2 anatase particles with a crystallite diameters ranging from 4.5 to 29nm were prepared by precipitation and sol&ndash;gel method, characterized by X-ray diffraction (XRD), BET surface area measurement, UV&ndash;vis and scanning electron microscopy (SEM) and tested in CO2 photocatalytic reduction. Methane and methanol were the main reduction products. The optimum particle size corresponding to the highest yields of both products was 14nm. The observed optimum particle size is a result of competing effects of specific surface area, charge&ndash;carrier dynamics and light absorption efficiency.","K.Koci, L. Obalova, L. Matejova, D.Placa, Z. Lacny, J.Jirkovsky ,O. Solcova",89,kamila.koci@vsb.cz,"CZ,CZ,CZ,CZ,CZ,CZ,CZ","Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic,Czech Republic",99
26,1,26,26,10.1016@j.apcatb.2010.08.015,10.1016/j.apcatb.2010.08.015,Photocatalytic reduction of CO2 with H2O on mesoporous silica supported Cu/TiO2 catalysts,2010,APPLIED CATALYSIS B-ENVIRONMENTAL,386,,"Photoreduction of CO2 to hydrocarbons is a sustainable energy technology which not only mitigates emissions but also provides alternative fuels. However, one of the largest challenges is to increase the overall CO2 photo-conversion efficiency when water is used as the reducing reagent. In this work, mesoporous silica supported Cu/TiO2 nanocomposites were synthesized through a one-pot sol&ndash;gel method, and the photoreduction experiments were carried out in a continuous-flow reactor using CO2 and water vapor as the reactants under the irradiation of a Xe lamp. The high surface area mesoporous silica substrate (&gt;300m2/g) greatly enhanced CO2 photoreduction, possibly due to improved TiO2 dispersion and increased adsorption of CO2 and H2O on the catalyst. CO was found to be the primary product of CO2 reduction for TiO2&ndash;SiO2 catalysts without Cu. The addition of Cu species, which was identified to be Cu2O by the XPS, markedly increased the overall CO2 conversion efficiency as well as the selectivity to CH4, by suppressing the electron&ndash;hole recombination and enhancing multi-electron reactions. A synergistic effect was observed by combining the porous SiO2 support and the deposition of Cu on TiO2. The peak production rates of CO and CH4 reached 60 and 10&mu;molg-cat&minus;1h&minus;1, respectively, for the 0.5%Cu/TiO2&ndash;SiO2 composite that has the optimum Cu concentration; the peak quantum yield was calculated to be 1.41%. Deactivation and regeneration of the catalyst was observed and the mechanism was discussed. Desorption of the reaction intermediates from the active sites may be the rate limiting step.","Y. Li, W-N. Wang, Z. Zhan, M-H. Woo, M-H. Wu, C-Y. Wu ,P. Biswas",100,liying@uwm.edu,"US,US,US,US,US,US","USA,USA,USA,USA,USA,USA",99
33,1,33,33,10.1016@S0926-3373(01)00322-8,10.1016/S0926-3373(01)00322-8,Photoreduction of CO2 using sol?gel derived titania and titania-supported copper catalysts,2002,APPLIED CATALYSIS B-ENVIRONMENTAL,37,,"Abstract Carbon dioxide was photocatalytically reduced to produce methanol in an aqueous solution using 254 nm UV irradiation. Titania and Cu-loaded titania were synthesized by an improved sol&ndash;gel method using a homogeneous hydrolysis technique. The grain size of TiO 2 and Cu/TiO 2 were uniform and average diameters were approximately 20 nm. Photocatalytic reduction was conducted in a quartz reactor with a UV lamp irradiating at the center. XPS analysis reveals that Cu 2p 3/2 is 933.4 eV indicating primary Cu 2O species on the TiO 2 supports. EDX and XPS revealed that most copper clusters were on the TiO 2 surface. The optimum amount of copper loading was 2.0 wt.% for the highest dispersion among catalysts. The methanol yield of 2.0 wt.% Cu/TiO 2 was 118 &mu;mol/g following 6 h of UV illumination. The yield was much higher than those of sol&ndash;gel TiO 2 and Degussa P25, whose yields were 4.7 and 38.2 &mu;mol/g, respectively. The methanol yield reached a steady-state 250 &mu;mol/g after 20 h of irradiation. Experimental results indicated that the methanol yield was significantly increased by adding NaOH. The caustic solution dissolved more CO 2 than did pure water. In addition, the OH &minus; in aqueous solution also served as a strong hole scavenger. The redistribution of the electric charge and the Schottky barrier of Cu and TiO 2 facilitates electron trapping via supported Cu. The photocatalytic efficiency of Cu/TiO 2 was markedly increased because of the lowering the re-combination probability for hole&ndash;electron pairs. The highest quantum and energy efficiencies achieved were 10 and 2.5%, respectively.","I-H. Tseng, W-C. Chang ,J.C.S. Wu",37,cswu@ccms.ntu.edu.tw,"TW,TW,TW","Taiwan,Taiwan,Taiwan",99
